0,Ht.no,Subcode,Subname,Grade,Credits
263,49,s2,s2,D,3
264,49,s3,s3,D,3
265,49,s4,s4,D,3
266,49,s5,s5,B,3
267,49,s6,s6,D,3
268,49,s3,s3 Lab,B,2
269,49,s1,s1 Lab,O,2
270,49,iv,iv,O,2
271,53,s1,s1,C,3
272,53,s2,s2,D,3
273,53,s3,s3,D,3
274,53,s4,s4,D,3
275,53,s5,s5,B,3
276,53,s6,s6,D,3
277,53,s3,s3 Lab,C,2
278,53,s1,s1 Lab,A,2
279,53,iv,iv,B,2
280,54,s1,s1,B,3
281,54,s2,s2,C,3
282,54,s3,s3,C,3
283,54,s4,s4,D,3
284,54,s5,s5,A,3
285,54,s6,s6,B,3
286,54,s3,s3 Lab,A,2
287,54,s1,s1 Lab,B,2
288,54,iv,iv,O,2
289,55,s1,s1,C,3
290,55,s2,s2,C,3
291,55,s3,s3,C,3
292,55,s4,s4,D,3
293,55,s5,s5,B,3
294,55,s6,s6,C,3
295,55,s3,s3 Lab,C,2
296,55,s1,s1 Lab,A,2
297,55,iv,iv,C,2
298,57,s1,s1,B,3
299,57,s2,s2,C,3
300,57,s3,s3,C,3
301,57,s4,s4,B,3
302,57,s5,s5,A,3
303,57,s6,s6,C,3
304,57,s3,s3 Lab,C,2
305,57,s1,s1 Lab,O,2
306,57,iv,iv,B,2
307,61,s1,s1,D,3
308,61,s2,s2,D,3
309,61,s3,s3,D,3
310,61,s4,s4,D,3
311,61,s5,s5,B,3
312,61,s6,s6,C,3
313,61,s3,s3 Lab,B,2
314,61,s1,s1 Lab,O,2
315,61,iv,iv,O,2
316,62,s1,s1,B,3
317,62,s2,s2,C,3
318,62,s3,s3,C,3
319,62,s4,s4,B,3
320,62,s5,s5,A,3
321,62,s6,s6,B,3
322,62,s3,s3 Lab,A,2
323,62,s1,s1 Lab,A,2
324,62,iv,iv,O,2
325,64,s1,s1,B,3
326,64,s2,s2,B,3
327,64,s3,s3,C,3
328,64,s4,s4,B,3
329,64,s5,s5,B,3
330,64,s6,s6,C,3
331,64,s3,s3 Lab,B,2
332,64,s1,s1 Lab,O,2
333,64,iv,iv,O,2
334,66,s1,s1,O,3
335,66,s2,s2,B,3
336,66,s3,s3,A,3
337,66,s4,s4,A,3
338,66,s5,s5,A,3
339,66,s6,s6,A,3
340,66,s3,s3 Lab,A,2
341,66,s1,s1 Lab,O,2
342,66,iv,iv,O,2
343,68,s1,s1,B,3
344,68,s2,s2,C,3
345,68,s3,s3,B,3
346,68,s4,s4,C,3
347,68,s5,s5,B,3
348,68,s6,s6,D,3
349,68,s3,s3 Lab,B,2
350,68,s1,s1 Lab,O,2
351,68,iv,iv,O,2
352,72,s1,s1,A,3
353,72,s2,s2,B,3
354,72,s3,s3,B,3
355,72,s4,s4,A,3
356,72,s5,s5,B,3
357,72,s6,s6,B,3
358,72,s3,s3 Lab,B,2
359,72,s1,s1 Lab,A,2
360,72,iv,iv,O,2
361,73,s1,s1,O,3
362,73,s2,s2,B,3
363,73,s3,s3,A,3
364,73,s4,s4,O,3
365,73,s5,s5,O,3
366,73,s6,s6,A,3
367,73,s3,s3 Lab,A,2
368,73,s1,s1 Lab,O,2
369,73,iv,iv,O,2
370,74,s1,s1,A,3
371,74,s2,s2,D,3
372,74,s3,s3,B,3
373,74,s4,s4,C,3
374,74,s5,s5,D,3
375,74,s6,s6,C,3
376,74,s3,s3 Lab,B,2
377,74,s1,s1 Lab,B,2
378,74,iv,iv,A,2
379,76,s1,s1,O,3
380,76,s2,s2,C,3
381,76,s3,s3,O,3
382,76,s4,s4,B,3
383,76,s5,s5,A,3
384,76,s6,s6,A,3
385,76,s3,s3 Lab,A,2
386,76,s1,s1 Lab,O,2
387,76,iv,iv,O,2
388,81,s1,s1,B,3
389,81,s2,s2,D,3
390,81,s3,s3,C,3
391,81,s4,s4,C,3
392,81,s5,s5,C,3
393,81,s6,s6,C,3
394,81,s3,s3 Lab,B,2
395,81,s1,s1 Lab,A,2
396,81,iv,iv,O,2
397,83,s1,s1,A,3
398,83,s2,s2,C,3
399,83,s3,s3,A,3
400,83,s4,s4,A,3
401,83,s5,s5,O,3
402,83,s6,s6,B,3
403,83,s3,s3 Lab,O,2
404,83,s1,s1 Lab,O,2
405,83,iv,iv,O,2
406,85,s1,s1,C,3
407,85,s2,s2,D,3
408,85,s3,s3,B,3
409,85,s4,s4,C,3
410,85,s5,s5,C,3
411,85,s6,s6,C,3
412,85,s3,s3 Lab,B,2
413,85,s1,s1 Lab,B,2
414,85,iv,iv,A,2
415,86,s1,s1,A,3
416,86,s2,s2,D,3
417,86,s3,s3,B,3
418,86,s4,s4,D,3
419,86,s5,s5,B,3
420,86,s6,s6,C,3
421,86,s3,s3 Lab,B,2
422,86,s1,s1 Lab,O,2
423,86,iv,iv,O,2
424,87,s1,s1,B,3
425,87,s2,s2,C,3
426,87,s3,s3,A,3
427,87,s4,s4,B,3
428,87,s5,s5,A,3
429,87,s6,s6,C,3
430,87,s3,s3 Lab,B,2
431,87,s1,s1 Lab,A,2
432,87,iv,iv,O,2
433,89,s1,s1,F,0
434,89,s2,s2,F,0
435,89,s3,s3,D,3
436,89,s4,s4,F,0
437,89,s5,s5,F,0
438,89,s6,s6,F,0
439,89,s3,s3 Lab,B,2
440,89,s1,s1 Lab,A,2
441,89,iv,iv,A,2
442,91,s1,s1,A,3
443,91,s2,s2,C,3
444,91,s3,s3,A,3
445,91,s4,s4,A,3
446,91,s5,s5,O,3
447,91,s6,s6,C,3
448,91,s3,s3 Lab,A,2
449,91,s1,s1 Lab,B,2
450,91,iv,iv,A,2
451,92,s1,s1,D,3
452,92,s2,s2,C,3
453,92,s3,s3,D,3
454,92,s4,s4,D,3
455,92,s5,s5,C,3
456,92,s6,s6,C,3
457,92,s3,s3 Lab,B,2
458,92,s1,s1 Lab,A,2
459,92,iv,iv,O,2
460,94,s1,s1,D,3
461,94,s2,s2,D,3
462,94,s3,s3,C,3
463,94,s4,s4,D,3
464,94,s5,s5,B,3
465,94,s6,s6,D,3
466,94,s3,s3 Lab,B,2
467,94,s1,s1 Lab,A,2
468,94,iv,iv,O,2
469,95,s1,s1,B,3
470,95,s2,s2,B,3
471,95,s3,s3,B,3
472,95,s4,s4,C,3
473,95,s5,s5,O,3
474,95,s6,s6,B,3
475,95,s3,s3 Lab,O,2
476,95,s1,s1 Lab,O,2
477,95,iv,iv,O,2
478,96,s1,s1,B,3
479,96,s2,s2,C,3
480,96,s3,s3,A,3
481,96,s4,s4,B,3
482,96,s5,s5,A,3
483,96,s6,s6,A,3
484,96,s3,s3 Lab,O,2
485,96,s1,s1 Lab,O,2
486,96,iv,iv,O,2
487,97,s1,s1,F,0
488,97,s2,s2,F,0
489,97,s3,s3,F,0
490,97,s4,s4,F,0
491,97,s5,s5,F,0
492,97,s6,s6,F,0
493,97,s3,s3 Lab,D,2
494,97,s1,s1 Lab,A,2
495,97,iv,iv,O,2
496,99,s1,s1,D,3
497,99,s2,s2,D,3
498,99,s3,s3,D,3
499,99,s4,s4,D,3
500,99,s5,s5,D,3
501,99,s6,s6,D,3
502,99,s3,s3 Lab,B,2
503,99,s1,s1 Lab,A,2
504,99,iv,iv,A,2
505,A2,s1,s1,O,3
506,A2,s2,s2,C,3
507,A2,s3,s3,B,3
508,A2,s4,s4,A,3
509,A2,s5,s5,B,3
510,A2,s6,s6,C,3
511,A2,s3,s3 Lab,O,2
512,A2,s1,s1 Lab,O,2
513,A2,iv,iv,O,2
514,A4,s1,s1,F,0
515,A4,s2,s2,AB,0
516,A4,s3,s3,F,0
517,A4,s4,s4,AB,0
518,A4,s5,s5,AB,0
519,A4,s6,s6,AB,0
520,A4,s3,s3 Lab,AB,0
521,A4,s1,s1 Lab,AB,0
522,A4,iv,iv,D,2
523,A9,s1,s1,A,3
524,A9,s2,s2,C,3
525,A9,s3,s3,B,3
526,A9,s4,s4,A,3
527,A9,s5,s5,A,3
528,A9,s6,s6,B,3
529,A9,s3,s3 Lab,A,2
530,A9,s1,s1 Lab,O,2
531,A9,iv,iv,O,2
532,B2,s1,s1,C,3
533,B2,s2,s2,F,0
534,B2,s3,s3,D,3
535,B2,s4,s4,F,0
536,B2,s5,s5,D,3
