0,Ht.no,Subcode,Subname,Grade,Credits
923,G6,s5,s5,B,3
924,G6,s6,s6,B,3
925,G6,s3,s3 Lab,A,2
926,G6,s1,s1 Lab,O,2
927,G6,iv,iv,O,2
928,G7,s1,s1,C,3
929,G7,s2,s2,C,3
930,G7,s3,s3,B,3
931,G7,s4,s4,C,3
932,G7,s5,s5,C,3
933,G7,s6,s6,D,3
934,G7,s3,s3 Lab,B,2
935,G7,s1,s1 Lab,A,2
936,G7,iv,iv,O,2
937,G8,s1,s1,B,3
938,G8,s2,s2,D,3
939,G8,s3,s3,B,3
940,G8,s4,s4,B,3
941,G8,s5,s5,A,3
942,G8,s6,s6,B,3
943,G8,s3,s3 Lab,A,2
944,G8,s1,s1 Lab,A,2
945,G8,iv,iv,O,2
946,G9,s1,s1,C,3
947,G9,s2,s2,C,3
948,G9,s3,s3,B,3
949,G9,s4,s4,B,3
950,G9,s5,s5,C,3
951,G9,s6,s6,B,3
952,G9,s3,s3 Lab,A,2
953,G9,s1,s1 Lab,O,2
954,G9,iv,iv,O,2
955,H0,s1,s1,B,3
956,H0,s2,s2,C,3
957,H0,s3,s3,B,3
958,H0,s4,s4,A,3
959,H0,s5,s5,B,3
960,H0,s6,s6,A,3
961,H0,s3,s3 Lab,B,2
962,H0,s1,s1 Lab,O,2
963,H0,iv,iv,A,2
964,H1,s1,s1,D,3
965,H1,s2,s2,C,3
966,H1,s3,s3,B,3
967,H1,s4,s4,B,3
968,H1,s5,s5,A,3
969,H1,s6,s6,F,0
970,H1,s3,s3 Lab,A,2
971,H1,s1,s1 Lab,O,2
972,H1,iv,iv,O,2
973,H2,s1,s1,F,0
974,H2,s2,s2,F,0
975,H2,s3,s3,F,0
976,H2,s4,s4,F,0
977,H2,s5,s5,F,0
978,H2,s6,s6,F,0
979,H2,s3,s3 Lab,B,2
980,H2,s1,s1 Lab,A,2
981,H2,iv,iv,D,2
982,H3,s1,s1,B,3
983,H3,s2,s2,C,3
984,H3,s3,s3,A,3
985,H3,s4,s4,A,3
986,H3,s5,s5,C,3
987,H3,s6,s6,B,3
988,H3,s3,s3 Lab,A,2
989,H3,s1,s1 Lab,O,2
990,H3,iv,iv,B,2
991,H4,s1,s1,C,3
992,H4,s2,s2,C,3
993,H4,s3,s3,C,3
994,H4,s4,s4,B,3
995,H4,s5,s5,B,3
996,H4,s6,s6,B,3
997,H4,s3,s3 Lab,A,2
998,H4,s1,s1 Lab,A,2
999,H4,iv,iv,O,2
1000,H5,s1,s1,C,3
1001,H5,s2,s2,D,3
1002,H5,s3,s3,C,3
1003,H5,s4,s4,F,0
1004,H5,s5,s5,D,3
1005,H5,s6,s6,D,3
1006,H5,s3,s3 Lab,B,2
1007,H5,s1,s1 Lab,A,2
1008,H5,iv,iv,A,2
1009,H6,s1,s1,C,3
1010,H6,s2,s2,C,3
1011,H6,s3,s3,C,3
1012,H6,s4,s4,B,3
1013,H6,s5,s5,B,3
1014,H6,s6,s6,C,3
1015,H6,s3,s3 Lab,A,2
1016,H6,s1,s1 Lab,A,2
1017,H6,iv,iv,O,2
1018,H7,s1,s1,B,3
1019,H7,s2,s2,C,3
1020,H7,s3,s3,A,3
1021,H7,s4,s4,A,3
1022,H7,s5,s5,A,3
1023,H7,s6,s6,A,3
1024,H7,s3,s3 Lab,O,2
1025,H7,s1,s1 Lab,O,2
1026,H7,iv,iv,D,2
1027,H8,s1,s1,B,3
1028,H8,s2,s2,D,3
1029,H8,s3,s3,B,3
1030,H8,s4,s4,C,3
1031,H8,s5,s5,D,3
1032,H8,s6,s6,C,3
1033,H8,s3,s3 Lab,B,2
1034,H8,s1,s1 Lab,O,2
1035,H8,iv,iv,D,2
1036,H9,s1,s1,C,3
1037,H9,s2,s2,D,3
1038,H9,s3,s3,B,3
1039,H9,s4,s4,B,3
1040,H9,s5,s5,B,3
1041,H9,s6,s6,C,3
1042,H9,s3,s3 Lab,A,2
1043,H9,s1,s1 Lab,O,2
1044,H9,iv,iv,O,2
1045,I0,s1,s1,C,3
1046,I0,s2,s2,D,3
1047,I0,s3,s3,B,3
1048,I0,s4,s4,D,3
1049,I0,s5,s5,C,3
1050,I0,s6,s6,C,3
1051,I0,s3,s3 Lab,B,2
1052,I0,s1,s1 Lab,O,2
1053,I0,iv,iv,A,2
1054,I1,s1,s1,C,3
1055,I1,s2,s2,C,3
1056,I1,s3,s3,B,3
1057,I1,s4,s4,C,3
1058,I1,s5,s5,B,3
1059,I1,s6,s6,C,3
1060,I1,s3,s3 Lab,A,2
1061,I1,s1,s1 Lab,A,2
1062,I1,iv,iv,O,2
1063,I2,s1,s1,B,3
1064,I2,s2,s2,C,3
1065,I2,s3,s3,A,3
1066,I2,s4,s4,B,3
1067,I2,s5,s5,A,3
1068,I2,s6,s6,B,3
1069,I2,s3,s3 Lab,A,2
1070,I2,s1,s1 Lab,O,2
1071,I2,iv,iv,O,2
1072,I3,s1,s1,B,3
1073,I3,s2,s2,C,3
1074,I3,s3,s3,B,3
1075,I3,s4,s4,O,3
1076,I3,s5,s5,A,3
1077,I3,s6,s6,A,3
1078,I3,s3,s3 Lab,A,2
1079,I3,s1,s1 Lab,O,2
1080,I3,iv,iv,O,2
1081,I4,s1,s1,C,3
1082,I4,s2,s2,C,3
1083,I4,s3,s3,C,3
1084,I4,s4,s4,D,3
1085,I4,s5,s5,D,3
1086,I4,s6,s6,D,3
1087,I4,s3,s3 Lab,A,2
1088,I4,s1,s1 Lab,O,2
1089,I4,iv,iv,A,2
1090,I5,s1,s1,B,3
1091,I5,s2,s2,B,3
1092,I5,s3,s3,A,3
1093,I5,s4,s4,A,3
1094,I5,s5,s5,A,3
1095,I5,s6,s6,A,3
1096,I5,s3,s3 Lab,A,2
1097,I5,s1,s1 Lab,O,2
1098,I5,iv,iv,O,2
1099,I7,s1,s1,B,3
1100,I7,s2,s2,C,3
1101,I7,s3,s3,A,3
1102,I7,s4,s4,A,3
1103,I7,s5,s5,B,3
1104,I7,s6,s6,B,3
1105,I7,s3,s3 Lab,A,2
1106,I7,s1,s1 Lab,O,2
1107,I7,iv,iv,O,2
1108,I8,s1,s1,B,3
1109,I8,s2,s2,B,3
1110,I8,s3,s3,A,3
1111,I8,s4,s4,O,3
1112,I8,s5,s5,O,3
1113,I8,s6,s6,A,3
1114,I8,s3,s3 Lab,O,2
1115,I8,s1,s1 Lab,O,2
1116,I8,iv,iv,O,2
1117,I9,s1,s1,C,3
1118,I9,s2,s2,C,3
1119,I9,s3,s3,B,3
1120,I9,s4,s4,B,3
1121,I9,s5,s5,B,3
1122,I9,s6,s6,B,3
1123,I9,s3,s3 Lab,A,2
1124,I9,s1,s1 Lab,O,2
1125,I9,iv,iv,A,2
1126,J1,s1,s1,C,3
1127,J1,s2,s2,D,3
1128,J1,s3,s3,C,3
1129,J1,s4,s4,D,3
1130,J1,s5,s5,C,3
1131,J1,s6,s6,D,3
1132,J1,s3,s3 Lab,B,2
1133,J1,s1,s1 Lab,A,2
1134,J1,iv,iv,C,2
1135,J2,s1,s1,B,3
1136,J2,s2,s2,C,3
1137,J2,s3,s3,B,3
1138,J2,s4,s4,C,3
1139,J2,s5,s5,A,3
1140,J2,s6,s6,C,3
1141,J2,s3,s3 Lab,A,2
1142,J2,s1,s1 Lab,A,2
1143,J2,iv,iv,O,2
1144,J3,s1,s1,C,3
1145,J3,s2,s2,C,3
1146,J3,s3,s3,B,3
1147,J3,s4,s4,B,3
1148,J3,s5,s5,B,3
1149,J3,s6,s6,B,3
1150,J3,s3,s3 Lab,A,2
1151,J3,s1,s1 Lab,O,2
1152,J3,iv,iv,B,2
1153,J4,s1,s1,B,3
1154,J4,s2,s2,C,3
1155,J4,s3,s3,A,3
1156,J4,s4,s4,B,3
1157,J4,s5,s5,A,3
1158,J4,s6,s6,A,3
1159,J4,s3,s3 Lab,O,2
1160,J4,s1,s1 Lab,O,2
1161,J4,iv,iv,O,2
1162,J5,s1,s1,C,3
1163,J5,s2,s2,C,3
1164,J5,s3,s3,A,3
1165,J5,s4,s4,A,3
1166,J5,s5,s5,B,3
1167,J5,s6,s6,B,3
1168,J5,s3,s3 Lab,A,2
1169,J5,s1,s1 Lab,O,2
1170,J5,iv,iv,O,2
1171,J6,s1,s1,C,3
1172,J6,s2,s2,C,3
1173,J6,s3,s3,A,3
1174,J6,s4,s4,A,3
1175,J6,s5,s5,B,3
1176,J6,s6,s6,B,3
1177,J6,s3,s3 Lab,O,2
1178,J6,s1,s1 Lab,A,2
1179,J6,iv,iv,A,2
1180,J7,s1,s1,C,3
1181,J7,s2,s2,A,3
1182,J7,s3,s3,O,3
1183,J7,s4,s4,O,3
1184,J7,s5,s5,A,3
1185,J7,s6,s6,O,3
1186,J7,s3,s3 Lab,A,2
1187,J7,s1,s1 Lab,A,2
1188,J7,iv,iv,O,2
1189,J8,s1,s1,D,3
1190,J8,s2,s2,D,3
1191,J8,s3,s3,B,3
1192,J8,s4,s4,C,3
1193,J8,s5,s5,A,3
1194,J8,s6,s6,C,3
1195,J8,s3,s3 Lab,B,2
1196,J8,s1,s1 Lab,O,2
1197,J8,iv,iv,A,2
1198,J9,s1,s1,A,3
1199,J9,s2,s2,B,3
1200,J9,s3,s3,A,3
1201,J9,s4,s4,A,3
1202,J9,s5,s5,A,3
1203,J9,s6,s6,A,3
1204,J9,s3,s3 Lab,O,2
1205,J9,s1,s1 Lab,O,2
1206,J9,iv,iv,O,2
1207,K0,s1,s1,F,0
1208,K0,s2,s2,F,0
1209,K0,s3,s3,F,0
1210,K0,s4,s4,F,0
1211,K0,s5,s5,F,0
1212,K0,s6,s6,F,0
1213,K0,s3,s3 Lab,AB,0
1214,K0,s1,s1 Lab,AB,0
1215,K0,iv,iv,D,2
1216,K1,s1,s1,B,3
1217,K1,s2,s2,B,3
1218,K1,s3,s3,B,3
1219,K1,s4,s4,O,3
1220,K1,s5,s5,A,3
1221,K1,s6,s6,A,3
1222,K1,s3,s3 Lab,O,2
1223,K1,s1,s1 Lab,O,2
1224,K1,iv,iv,O,2
1225,K3,s1,s1,B,3
1226,K3,s2,s2,B,3
1227,K3,s3,s3,B,3
1228,K3,s4,s4,B,3
1229,K3,s5,s5,B,3
1230,K3,s6,s6,B,3
1231,K3,s3,s3 Lab,B,2
1232,K3,s1,s1 Lab,O,2
1233,K3,iv,iv,A,2
1234,K4,s1,s1,B,3
1235,K4,s2,s2,C,3
1236,K4,s3,s3,B,3
1237,K4,s4,s4,B,3
1238,K4,s5,s5,B,3
1239,K4,s6,s6,C,3
1240,K4,s3,s3 Lab,A,2
1241,K4,s1,s1 Lab,O,2
1242,K4,iv,iv,D,2
1243,K5,s1,s1,B,3
1244,K5,s2,s2,D,3
1245,K5,s3,s3,C,3
1246,K5,s4,s4,B,3
1247,K5,s5,s5,B,3
1248,K5,s6,s6,C,3
1249,K5,s3,s3 Lab,A,2
1250,K5,s1,s1 Lab,O,2
1251,K5,iv,iv,D,2
1252,K7,s1,s1,B,3
1253,K7,s2,s2,C,3
1254,K7,s3,s3,A,3
1255,K7,s4,s4,A,3
1256,K7,s5,s5,A,3
1257,K7,s6,s6,B,3
1258,K7,s3,s3 Lab,O,2
1259,K7,s1,s1 Lab,O,2
1260,K7,iv,iv,O,2
1261,K9,s1,s1,C,3
1262,K9,s2,s2,C,3
1263,K9,s3,s3,B,3
1264,K9,s4,s4,B,3
1265,K9,s5,s5,B,3
1266,K9,s6,s6,B,3
1267,K9,s3,s3 Lab,B,2
1268,K9,s1,s1 Lab,O,2
1269,K9,iv,iv,B,2
1270,L1,s1,s1,B,3
1271,L1,s2,s2,B,3
1272,L1,s3,s3,B,3
1273,L1,s4,s4,A,3
1274,L1,s5,s5,B,3
1275,L1,s6,s6,B,3
1276,L1,s3,s3 Lab,O,2
1277,L1,s1,s1 Lab,O,2
1278,L1,iv,iv,A,2
1279,L2,s1,s1,C,3
1280,L2,s2,s2,C,3
1281,L2,s3,s3,A,3
1282,L2,s4,s4,B,3
1283,L2,s5,s5,C,3
1284,L2,s6,s6,B,3
1285,L2,s3,s3 Lab,A,2
1286,L2,s1,s1 Lab,O,2
1287,L2,iv,iv,A,2
1288,L3,s1,s1,B,3
1289,L3,s2,s2,C,3
1290,L3,s3,s3,C,3
1291,L3,s4,s4,C,3
1292,L3,s5,s5,B,3
1293,L3,s6,s6,C,3
1294,L3,s3,s3 Lab,C,2
1295,L3,s1,s1 Lab,A,2
1296,L3,iv,iv,O,2
1297,L4,s1,s1,C,3
1298,L4,s2,s2,D,3
1299,L4,s3,s3,B,3
1300,L4,s4,s4,C,3
1301,L4,s5,s5,B,3
1302,L4,s6,s6,C,3
1303,L4,s3,s3 Lab,B,2
1304,L4,s1,s1 Lab,O,2
1305,L4,iv,iv,O,2
1306,L5,s1,s1,A,3
1307,L5,s2,s2,C,3
1308,L5,s3,s3,A,3
1309,L5,s4,s4,C,3
1310,L5,s5,s5,O,3
1311,L5,s6,s6,O,3
1312,L5,s3,s3 Lab,A,2
1313,L5,s1,s1 Lab,O,2
1314,L5,iv,iv,A,2
1315,L6,s1,s1,B,3
1316,L6,s2,s2,C,3
1317,L6,s3,s3,A,3
1318,L6,s4,s4,D,3
1319,L6,s5,s5,B,3
1320,L6,s6,s6,C,3
1321,L6,s3,s3 Lab,B,2
1322,L6,s1,s1 Lab,O,2
1323,L6,iv,iv,O,2
1324,L7,s1,s1,A,3
1325,L7,s2,s2,C,3
1326,L7,s3,s3,A,3
1327,L7,s4,s4,B,3
1328,L7,s5,s5,A,3
1329,L7,s6,s6,A,3
1330,L7,s3,s3 Lab,A,2
1331,L7,s1,s1 Lab,O,2
1332,L7,iv,iv,O,2
1333,L8,s1,s1,A,3
1334,L8,s2,s2,C,3
1335,L8,s3,s3,A,3
1336,L8,s4,s4,B,3
1337,L8,s5,s5,A,3
1338,L8,s6,s6,A,3
1339,L8,s3,s3 Lab,A,2
1340,L8,s1,s1 Lab,O,2
1341,L8,iv,iv,O,2
1342,M0,s1,s1,F,0
1343,M0,s2,s2,F,0
1344,M0,s3,s3,D,3
1345,M0,s4,s4,D,3
1346,M0,s5,s5,C,3
1347,M0,s6,s6,C,3
1348,M0,s3,s3 Lab,A,2
1349,M0,s1,s1 Lab,O,2
1350,M0,iv,iv,O,2
1351,M1,s1,s1,A,3
1352,M1,s2,s2,C,3
1353,M1,s3,s3,A,3
1354,M1,s4,s4,A,3
1355,M1,s5,s5,O,3
1356,M1,s6,s6,A,3
1357,M1,s3,s3 Lab,A,2
1358,M1,s1,s1 Lab,O,2
1359,M1,iv,iv,O,2
1360,M2,s1,s1,A,3
1361,M2,s2,s2,C,3
1362,M2,s3,s3,A,3
1363,M2,s4,s4,C,3
1364,M2,s5,s5,B,3
1365,M2,s6,s6,A,3
1366,M2,s3,s3 Lab,B,2
1367,M2,s1,s1 Lab,O,2
1368,M2,iv,iv,O,2
1369,M3,s1,s1,F,0
1370,M3,s2,s2,F,0
1371,M3,s3,s3,D,3
1372,M3,s4,s4,D,3
1373,M3,s5,s5,C,3
1374,M3,s6,s6,D,3
1375,M3,s3,s3 Lab,B,2
1376,M3,s1,s1 Lab,A,2
1377,M3,iv,iv,O,2
1378,M5,s1,s1,C,3
1379,M5,s2,s2,C,3
1380,M5,s3,s3,B,3
1381,M5,s4,s4,D,3
1382,M5,s5,s5,D,3
1383,M5,s6,s6,B,3
1384,M5,s3,s3 Lab,B,2
1385,M5,s1,s1 Lab,O,2
1386,M5,iv,iv,O,2
1387,M6,s1,s1,C,3
1388,M6,s2,s2,D,3
1389,M6,s3,s3,C,3
1390,M6,s4,s4,C,3
1391,M6,s5,s5,A,3
1392,M6,s6,s6,B,3
1393,M6,s3,s3 Lab,A,2
1394,M6,s1,s1 Lab,O,2
1395,M6,iv,iv,O,2
1396,M7,s1,s1,B,3
1397,M7,s2,s2,D,3
1398,M7,s3,s3,A,3
1399,M7,s4,s4,B,3
1400,M7,s5,s5,O,3
1401,M7,s6,s6,O,3
1402,M7,s3,s3 Lab,A,2
1403,M7,s1,s1 Lab,O,2
1404,M7,iv,iv,O,2
1405,M8,s1,s1,C,3
1406,M8,s2,s2,F,0
1407,M8,s3,s3,B,3
1408,M8,s4,s4,D,3
1409,M8,s5,s5,A,3
1410,M8,s6,s6,C,3
1411,M8,s3,s3 Lab,A,2
1412,M8,s1,s1 Lab,O,2
1413,M8,iv,iv,A,2
1414,N0,s1,s1,A,3
1415,N0,s2,s2,D,3
1416,N0,s3,s3,A,3
1417,N0,s4,s4,C,3
1418,N0,s5,s5,A,3
1419,N0,s6,s6,B,3
1420,N0,s3,s3 Lab,A,2
1421,N0,s1,s1 Lab,O,2
1422,N0,iv,iv,O,2
1423,N1,s1,s1,C,3
1424,N1,s2,s2,F,0
1425,N1,s3,s3,C,3
1426,N1,s4,s4,D,3
1427,N1,s5,s5,C,3
1428,N1,s6,s6,D,3
1429,N1,s3,s3 Lab,B,2
1430,N1,s1,s1 Lab,O,2
1431,N1,iv,iv,O,2
1432,N2,s1,s1,B,3
1433,N2,s2,s2,D,3
1434,N2,s3,s3,B,3
1435,N2,s4,s4,D,3
1436,N2,s5,s5,A,3
1437,N2,s6,s6,B,3
1438,N2,s3,s3 Lab,A,2
1439,N2,s1,s1 Lab,O,2
1440,N2,iv,iv,O,2
1441,N6,s1,s1,A,3
1442,N6,s2,s2,D,3
1443,N6,s3,s3,A,3
1444,N6,s4,s4,B,3
1445,N6,s5,s5,O,3
1446,N6,s6,s6,A,3
1447,N6,s3,s3 Lab,O,2
1448,N6,s1,s1 Lab,O,2
1449,N6,iv,iv,O,2
1450,N8,s1,s1,B,3
1451,N8,s2,s2,C,3
1452,N8,s3,s3,C,3
1453,N8,s4,s4,C,3
1454,N8,s5,s5,B,3
1455,N8,s6,s6,B,3
1456,N8,s3,s3 Lab,B,2
1457,N8,s1,s1 Lab,O,2
1458,N8,iv,iv,O,2
1459,O1,s1,s1,B,3
1460,O1,s2,s2,D,3
1461,O1,s3,s3,D,3
1462,O1,s4,s4,D,3
1463,O1,s5,s5,C,3
1464,O1,s6,s6,D,3
1465,O1,s3,s3 Lab,B,2
1466,O1,s1,s1 Lab,O,2
1467,O1,iv,iv,O,2
1468,O3,s1,s1,F,0
1469,O3,s2,s2,F,0
1470,O3,s3,s3,F,0
1471,O3,s4,s4,F,0
1472,O3,s5,s5,F,0
1473,O3,s6,s6,F,0
1474,O3,s3,s3 Lab,B,2
1475,O3,s1,s1 Lab,B,2
1476,O3,iv,iv,D,2
1477,O4,s1,s1,B,3
1478,O4,s2,s2,D,3
1479,O4,s3,s3,B,3
1480,O4,s4,s4,C,3
1481,O4,s5,s5,A,3
1482,O4,s6,s6,B,3
1483,O4,s3,s3 Lab,A,2
1484,O4,s1,s1 Lab,A,2
1485,O4,iv,iv,O,2
1486,O5,s1,s1,C,3
1487,O5,s2,s2,F,0
1488,O5,s3,s3,F,0
1489,O5,s4,s4,F,0
1490,O5,s5,s5,C,3
1491,O5,s6,s6,D,3
1492,O5,s3,s3 Lab,C,2
1493,O5,s1,s1 Lab,A,2
1494,O5,iv,iv,O,2
1495,O7,s1,s1,D,3
1496,O7,s2,s2,D,3
1497,O7,s3,s3,F,0
1498,O7,s4,s4,F,0
1499,O7,s5,s5,F,0
1500,O7,s6,s6,F,0
1501,O7,s3,s3 Lab,B,2
1502,O7,s1,s1 Lab,B,2
1503,O7,iv,iv,D,2
1504,O8,s1,s1,F,0
1505,O8,s2,s2,F,0
1506,O8,s3,s3,F,0
1507,O8,s4,s4,F,0
1508,O8,s5,s5,F,0
1509,O8,s6,s6,F,0
1510,O8,s3,s3 Lab,C,2
1511,O8,s1,s1 Lab,A,2
1512,O8,iv,iv,D,2
1513,O9,s1,s1,F,0
1514,O9,s2,s2,F,0
1515,O9,s3,s3,F,0
1516,O9,s4,s4,F,0
1517,O9,s5,s5,F,0
1518,O9,s6,s6,F,0
1519,O9,s3,s3 Lab,D,2
1520,O9,s1,s1 Lab,A,2
1521,O9,iv,iv,O,2
1522,P0,s1,s1,F,0
1523,P0,s2,s2,D,3
1524,P0,s3,s3,C,3
1525,P0,s4,s4,F,0
1526,P0,s5,s5,C,3
1527,P0,s6,s6,D,3
1528,P0,s3,s3 Lab,A,2
1529,P0,s1,s1 Lab,O,2
1530,P0,iv,iv,D,2
1531,P1,s1,s1,A,3
1532,P1,s2,s2,C,3
1533,P1,s3,s3,C,3
1534,P1,s4,s4,C,3
1535,P1,s5,s5,A,3
1536,P1,s6,s6,B,3
1537,P1,s3,s3 Lab,O,2
1538,P1,s1,s1 Lab,O,2
1539,P1,iv,iv,O,2
1540,P2,s1,s1,A,3
1541,P2,s2,s2,C,3
1542,P2,s3,s3,C,3
1543,P2,s4,s4,C,3
1544,P2,s5,s5,O,3
1545,P2,s6,s6,O,3
1546,P2,s3,s3 Lab,O,2
1547,P2,s1,s1 Lab,A,2
1548,P2,iv,iv,O,2
1549,P3,s1,s1,B,3
1550,P3,s2,s2,D,3
1551,P3,s3,s3,A,3
1552,P3,s4,s4,D,3
1553,P3,s5,s5,A,3
1554,P3,s6,s6,B,3
1555,P3,s3,s3 Lab,A,2
1556,P3,s1,s1 Lab,A,2
1557,P3,iv,iv,O,2
1558,P5,s1,s1,C,3
1559,P5,s2,s2,F,0
1560,P5,s3,s3,B,3
1561,P5,s4,s4,D,3
1562,P5,s5,s5,A,3
1563,P5,s6,s6,C,3
1564,P5,s3,s3 Lab,A,2
1565,P5,s1,s1 Lab,A,2
1566,P5,iv,iv,F,0
1567,P6,s1,s1,D,3
1568,P6,s2,s2,F,0
1569,P6,s3,s3,B,3
1570,P6,s4,s4,D,3
1571,P6,s5,s5,B,3
1572,P6,s6,s6,B,3
1573,P6,s3,s3 Lab,A,2
1574,P6,s1,s1 Lab,A,2
1575,P6,iv,iv,O,2
1576,P7,s1,s1,B,3
1577,P7,s2,s2,C,3
1578,P7,s3,s3,C,3
1579,P7,s4,s4,C,3
1580,P7,s5,s5,O,3
1581,P7,s6,s6,B,3
1582,P7,s3,s3 Lab,O,2
1583,P7,s1,s1 Lab,A,2
1584,P7,iv,iv,O,2
1585,P8,s1,s1,B,3
1586,P8,s2,s2,C,3
1587,P8,s3,s3,A,3
1588,P8,s4,s4,C,3
1589,P8,s5,s5,O,3
1590,P8,s6,s6,A,3
1591,P8,s3,s3 Lab,O,2
1592,P8,s1,s1 Lab,O,2
1593,P8,iv,iv,O,2
1594,P9,s1,s1,A,3
1595,P9,s2,s2,C,3
1596,P9,s3,s3,B,3
1597,P9,s4,s4,C,3
1598,P9,s5,s5,O,3
1599,P9,s6,s6,A,3
1600,P9,s3,s3 Lab,O,2
1601,P9,s1,s1 Lab,A,2
1602,P9,iv,iv,O,2
1603,Q0,s1,s1,C,3
1604,Q0,s2,s2,D,3
1605,Q0,s3,s3,D,3
1606,Q0,s4,s4,C,3
1607,Q0,s5,s5,B,3
1608,Q0,s6,s6,D,3
1609,Q0,s3,s3 Lab,B,2
1610,Q0,s1,s1 Lab,A,2
1611,Q0,iv,iv,A,2
1612,Q1,s1,s1,F,0
1613,Q1,s2,s2,D,3
1614,Q1,s3,s3,F,0
1615,Q1,s4,s4,F,0
1616,Q1,s5,s5,C,3
1617,Q1,s6,s6,F,0
1618,Q1,s3,s3 Lab,B,2
1619,Q1,s1,s1 Lab,A,2
1620,Q1,iv,iv,O,2
1621,Q2,s1,s1,O,3
1622,Q2,s2,s2,C,3
1623,Q2,s3,s3,B,3
1624,Q2,s4,s4,B,3
1625,Q2,s5,s5,A,3
1626,Q2,s6,s6,A,3
1627,Q2,s3,s3 Lab,O,2
1628,Q2,s1,s1 Lab,O,2
1629,Q2,iv,iv,O,2
1630,Q3,s1,s1,C,3
1631,Q3,s2,s2,C,3
1632,Q3,s3,s3,D,3
1633,Q3,s4,s4,D,3
1634,Q3,s5,s5,C,3
1635,Q3,s6,s6,B,3
1636,Q3,s3,s3 Lab,B,2
1637,Q3,s1,s1 Lab,A,2
1638,Q3,iv,iv,O,2
1639,Q4,s1,s1,A,3
1640,Q4,s2,s2,C,3
1641,Q4,s3,s3,C,3
1642,Q4,s4,s4,C,3
1643,Q4,s5,s5,A,3
1644,Q4,s6,s6,B,3
1645,Q4,s3,s3 Lab,A,2
1646,Q4,s1,s1 Lab,B,2
1647,Q4,iv,iv,O,2
1648,Q5,s1,s1,O,3
1649,Q5,s2,s2,C,3
1650,Q5,s3,s3,B,3
1651,Q5,s4,s4,B,3
1652,Q5,s5,s5,A,3
1653,Q5,s6,s6,B,3
1654,Q5,s3,s3 Lab,B,2
1655,Q5,s1,s1 Lab,A,2
1656,Q5,iv,iv,A,2
1657,Q6,s1,s1,C,3
1658,Q6,s2,s2,C,3
1659,Q6,s3,s3,B,3
1660,Q6,s4,s4,C,3
1661,Q6,s5,s5,B,3
1662,Q6,s6,s6,C,3
1663,Q6,s3,s3 Lab,A,2
1664,Q6,s1,s1 Lab,A,2
1665,Q6,iv,iv,A,2
1666,Q7,s1,s1,D,3
1667,Q7,s2,s2,C,3
1668,Q7,s3,s3,C,3
1669,Q7,s4,s4,D,3
1670,Q7,s5,s5,A,3
1671,Q7,s6,s6,C,3
1672,Q7,s3,s3 Lab,A,2
1673,Q7,s1,s1 Lab,A,2
1674,Q7,iv,iv,O,2
1675,Q8,s1,s1,C,3
1676,Q8,s2,s2,D,3
1677,Q8,s3,s3,C,3
1678,Q8,s4,s4,D,3
1679,Q8,s5,s5,D,3
1680,Q8,s6,s6,B,3
1681,Q8,s3,s3 Lab,A,2
1682,Q8,s1,s1 Lab,B,2
1683,Q8,iv,iv,B,2
1684,R0,s1,s1,A,3
1685,R0,s2,s2,C,3
1686,R0,s3,s3,B,3
1687,R0,s4,s4,B,3
1688,R0,s5,s5,O,3
1689,R0,s6,s6,A,3
1690,R0,s3,s3 Lab,O,2
1691,R0,s1,s1 Lab,O,2
1692,R0,iv,iv,O,2
1693,R1,s1,s1,C,3
1694,R1,s2,s2,C,3
1695,R1,s3,s3,D,3
1696,R1,s4,s4,C,3
1697,R1,s5,s5,B,3
1698,R1,s6,s6,B,3
1699,R1,s3,s3 Lab,B,2
1700,R1,s1,s1 Lab,A,2
1701,R1,iv,iv,O,2
1702,R2,s1,s1,C,3
1703,R2,s2,s2,C,3
1704,R2,s3,s3,C,3
1705,R2,s4,s4,F,0
1706,R2,s5,s5,D,3
1707,R2,s6,s6,D,3
1708,R2,s3,s3 Lab,A,2
1709,R2,s1,s1 Lab,A,2
1710,R2,iv,iv,A,2
1711,R3,s1,s1,A,3
1712,R3,s2,s2,C,3
1713,R3,s3,s3,A,3
1714,R3,s4,s4,A,3
1715,R3,s5,s5,A,3
1716,R3,s6,s6,A,3
1717,R3,s3,s3 Lab,A,2
1718,R3,s1,s1 Lab,O,2
1719,R3,iv,iv,O,2
1720,R4,s1,s1,D,3
1721,R4,s2,s2,D,3
1722,R4,s3,s3,D,3
1723,R4,s4,s4,D,3
1724,R4,s5,s5,D,3
1725,R4,s6,s6,C,3
1726,R4,s3,s3 Lab,B,2
1727,R4,s1,s1 Lab,B,2
1728,R4,iv,iv,C,2
1729,R5,s1,s1,O,3
1730,R5,s2,s2,B,3
1731,R5,s3,s3,A,3
1732,R5,s4,s4,A,3
1733,R5,s5,s5,O,3
1734,R5,s6,s6,A,3
1735,R5,s3,s3 Lab,O,2
1736,R5,s1,s1 Lab,O,2
1737,R5,iv,iv,O,2
1738,R6,s1,s1,O,3
1739,R6,s2,s2,A,3
1740,R6,s3,s3,B,3
1741,R6,s4,s4,A,3
1742,R6,s5,s5,O,3
1743,R6,s6,s6,B,3
1744,R6,s3,s3 Lab,A,2
1745,R6,s1,s1 Lab,A,2
1746,R6,iv,iv,O,2
1747,R7,s1,s1,A,3
1748,R7,s2,s2,B,3
1749,R7,s3,s3,B,3
